"sample","pond","treatment","day","date","sample_vol_L","biomass_mg_L","C_ug","N_ug","t15N_ug","N_atom_perc","preN_atom_perc","add15N_perc","dorset_pond"
"phytoplankton",4,"A",0.00999999999999979,"15/07/13",0.0365406135697896,11.88,142.1742,13.376,0.0490411477899308,0.366635375223765,0.366824130158012,-0.000188754934246749,7
"phytoplankton",4,"A",0.85,"16/07/13",0.0626422252089711,10.86,194.6331,24.111,0.142355134401058,0.590415720629829,0.366824130158012,0.223591590471817,7
"phytoplankton",4,"A",1.21,"16/07/13",0.062667870828401,8.58,140.9027,14.4429,0.127394635520247,0.882057173561039,0.366824130158012,0.515233043403027,7
"phytoplankton",4,"A",1.73,"17/07/13",0.0937891989704899,2.56,280.9349,32.3007,0.442469776389697,1.36984578163847,0.366824130158012,1.00302165148046,7
"phytoplankton",4,"A",2.07,"17/07/13",0.046967289323303,8.67,121.1883,14.9685,0.217497151675344,1.45303237916521,0.366824130158012,1.0862082490072,7
"phytoplankton",4,"A",2.82,"18/07/13",0.0417570279085431,9.96,177.0292,20.4785,0.249065383875793,1.21622864895277,0.366824130158012,0.849404518794758,7
"phytoplankton",4,"A",3.93,"19/07/13",0.0417658765774665,11.04,160.8518,17.3109,0.173402776651294,1.00169706168538,0.366824130158012,0.634872931527364,7
"phytoplankton",4,"A",4.95,"20/07/13",0.038274127952639,11.82,149.4692,14.1081,0.120628556663543,0.85503049073612,0.366824130158012,0.488206360578108,7
"phytoplankton",4,"A",6.95,"22/07/13",0.0469858768626134,11.48,183.7663,23.309,0.177429821733985,0.761207352241561,0.366824130158012,0.394383222083549,7
"phytoplankton",4,"A",11.84,"27/07/13",0.0365267369879865,9.79,129.9605,14.8113,0.0886908507145207,0.598805308882547,0.366824130158012,0.231981178724535,7
"phytoplankton",4,"A",15.9,"31/07/13",0.0365456367563264,9.38,94.4373,9.5339,0.0506603367695846,0.53137054898399,0.366824130158012,0.164546418825978,7
"phytoplankton",4,"A",23.7,"08/08/13",0.0835236467659078,14.25,382.7053,40.541,0.202594020594803,0.49972625390297,0.366824130158012,0.132902123744958,7
"phytoplankton",4,"A",28.86,"13/08/13",0.0522026556609531,7.9,211.1672,18.6896,0.0880846170647023,0.471302847919176,0.366824130158012,0.104478717761164,7
"phytoplankton",4,"A",53.01,"06/09/13",0.0182691533552821,19.24,161.1422,13.5696,0.0574933933867858,0.423692617223689,0.366824130158012,0.0568684870656775,7
"zooplankton",4,"A",0.26,"16/07/13",4.00035469894927,0.0627,128.39,32.03,0.118003972312919,0.36841702251926,0.367571676497926,0.000845346021334181,7
"zooplankton",4,"A",0.76,"16/07/13",3.99445777432327,0.0381,79.22,17.73,0.0664273610191935,0.374660806650838,0.367571676497926,0.0070891301529119,7
